x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
0,0,0.0,chi2,MCAR,1.2973668514899577e-88,0.38191432298512584
0,0,0.0,chi2,MAR,1.2973668514899577e-88,0.38191432298512584
0,0,0.0,chi2,MNAR,1.2973668514899577e-88,0.38191432298512584
0,0,0.1,chi2,MCAR,1.0128373991934959e-68,0.37852130769584474
0,0,0.1,chi2,MAR,2.664723842701536e-78,0.37657723077500155
0,0,0.1,chi2,MNAR,1.2973668514899577e-88,0.38191432298512584
0,0,0.2,chi2,MCAR,2.2752808162838158e-58,0.39735101151138974
0,0,0.2,chi2,MAR,1.0296070671036986e-65,0.3681477370341789
0,0,0.2,chi2,MNAR,1.2973668514899577e-88,0.38191432298512584
0,0,0.3,chi2,MCAR,1.322079478264625e-39,0.37884125723133966
0,0,0.3,chi2,MAR,4.4798867666124275e-56,0.35959744091780177
0,0,0.3,chi2,MNAR,1.7579409255647265e-56,0.453519422088098
0,0,0.4,chi2,MCAR,3.9134165166885e-25,0.36514016585408227
0,0,0.4,chi2,MAR,1.24933531479499e-43,0.34511212031289124
0,0,0.4,chi2,MNAR,1.7579409255647265e-56,0.453519422088098
1,1,0.0,chi2,MCAR,5.892230974062103e-103,0.410130152053172
1,1,0.0,chi2,MAR,5.892230974062103e-103,0.410130152053172
1,1,0.0,chi2,MNAR,5.892230974062103e-103,0.410130152053172
1,1,0.1,chi2,MCAR,7.800200511454334e-84,0.41082985800838745
1,1,0.1,chi2,MAR,1.1375212060205181e-95,0.41655526158016787
1,1,0.1,chi2,MNAR,5.892230974062103e-103,0.410130152053172
1,1,0.2,chi2,MCAR,7.673417705301251e-63,0.3998986378665962
1,1,0.2,chi2,MAR,2.1318907025705273e-76,0.3993411219709723
1,1,0.2,chi2,MNAR,5.892230974062103e-103,0.410130152053172
1,1,0.3,chi2,MCAR,3.002758802443813e-42,0.38347356788078923
1,1,0.3,chi2,MAR,8.481245138800096e-66,0.3925613383405661
1,1,0.3,chi2,MNAR,3.0551159788412483e-56,0.4546809561650354
1,1,0.4,chi2,MCAR,2.5651262075900068e-31,0.39827317933011785
1,1,0.4,chi2,MAR,4.1913092747890455e-59,0.40324295674750105
1,1,0.4,chi2,MNAR,3.0551159788412483e-56,0.4546809561650354
2,2,0.0,chi2,MCAR,1.308572489672783e-97,0.3998519433577676
2,2,0.0,chi2,MAR,1.308572489672783e-97,0.3998519433577676
2,2,0.0,chi2,MNAR,1.308572489672783e-97,0.3998519433577676
2,2,0.1,chi2,MCAR,8.834642394166672e-78,0.39582092594324403
2,2,0.1,chi2,MAR,2.5764604672983792e-89,0.404081389607775
2,2,0.1,chi2,MNAR,1.308572489672783e-97,0.3998519433577676
2,2,0.2,chi2,MCAR,3.1202951602951883e-55,0.38789402621919794
2,2,0.2,chi2,MAR,3.492840344293203e-77,0.39951591142937903
2,2,0.2,chi2,MNAR,1.308572489672783e-97,0.3998519433577676
2,2,0.3,chi2,MCAR,1.9330260613872062e-39,0.3809076611285492
2,2,0.3,chi2,MAR,2.158648701822522e-65,0.3947529480379393
2,2,0.3,chi2,MNAR,2.9048306424593797e-55,0.4514810100289922
2,2,0.4,chi2,MCAR,5.500135034988596e-26,0.3582716600237457
2,2,0.4,chi2,MAR,6.494971473666514e-55,0.39322766135402215
2,2,0.4,chi2,MNAR,2.9048306424593797e-55,0.4514810100289922
3,3,0.0,chi2,MCAR,1.3909206194451565e-109,0.4225136817975532
3,3,0.0,chi2,MAR,1.3909206194451565e-109,0.4225136817975532
3,3,0.0,chi2,MNAR,1.3909206194451565e-109,0.4225136817975532
3,3,0.1,chi2,MCAR,2.514591275850513e-87,0.4261794509619193
3,3,0.1,chi2,MAR,2.9012661438105203e-98,0.4202615212282707
3,3,0.1,chi2,MNAR,1.3909206194451565e-109,0.4225136817975532
3,3,0.2,chi2,MCAR,4.916537334698878e-63,0.41622163571776344
3,3,0.2,chi2,MAR,5.032421909630528e-86,0.4184325656433183
3,3,0.2,chi2,MNAR,1.3909206194451565e-109,0.4225136817975532
3,3,0.3,chi2,MCAR,1.1779810122808318e-51,0.4339761899250377
3,3,0.3,chi2,MAR,1.1879387086681116e-77,0.4303952227282683
3,3,0.3,chi2,MNAR,2.3436253947606485e-69,0.5076466080716158
3,3,0.4,chi2,MCAR,7.390690419217257e-37,0.4337145707255793
3,3,0.4,chi2,MAR,1.210861526783891e-60,0.41883326773239804
3,3,0.4,chi2,MNAR,2.3436253947606485e-69,0.5076466080716158
4,4,0.0,chi2,MCAR,3.327775979257613e-76,0.355638710920425
4,4,0.0,chi2,MAR,3.327775979257613e-76,0.355638710920425
4,4,0.0,chi2,MNAR,3.327775979257613e-76,0.355638710920425
4,4,0.1,chi2,MCAR,4.1620898171615206e-57,0.3465127952438548
4,4,0.1,chi2,MAR,2.7826855862766865e-69,0.3553167052879708
4,4,0.1,chi2,MNAR,3.327775979257613e-76,0.355638710920425
4,4,0.2,chi2,MCAR,1.8352454465322145e-41,0.3345109496036446
4,4,0.2,chi2,MAR,2.9252655666570214e-62,0.3587497478140287
4,4,0.2,chi2,MNAR,3.327775979257613e-76,0.355638710920425
4,4,0.3,chi2,MCAR,1.6258568065629967e-32,0.3373731315481786
4,4,0.3,chi2,MAR,8.586181440091973e-57,0.3629677199632085
4,4,0.3,chi2,MNAR,3.420521477230099e-54,0.4591543279298556
4,4,0.4,chi2,MCAR,4.923124568719015e-25,0.35094522132277267
4,4,0.4,chi2,MAR,7.681767324435754e-51,0.3709030523448937
4,4,0.4,chi2,MNAR,3.420521477230099e-54,0.4591543279298556
5,5,0.0,chi2,MCAR,3.161150379943717e-106,0.4162887529261023
5,5,0.0,chi2,MAR,3.161150379943717e-106,0.4162887529261023
5,5,0.0,chi2,MNAR,3.161150379943717e-106,0.4162887529261023
5,5,0.1,chi2,MCAR,2.9045708127256684e-77,0.40146715091145463
5,5,0.1,chi2,MAR,1.5751126987580686e-97,0.4255930368284854
5,5,0.1,chi2,MNAR,3.161150379943717e-106,0.4162887529261023
5,5,0.2,chi2,MCAR,1.3154053487841594e-59,0.39807836636099975
5,5,0.2,chi2,MAR,2.5777030053165784e-87,0.42859673510523527
5,5,0.2,chi2,MNAR,3.161150379943717e-106,0.4162887529261023
5,5,0.3,chi2,MCAR,3.293817616183801e-46,0.40449459125296955
5,5,0.3,chi2,MAR,4.2851315630923216e-68,0.4087595616088334
