x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
0,0,0.0,anova,MCAR,5.136099297833445e-148,0.4968142741110064
0,0,0.0,anova,MAR,5.136099297833445e-148,0.4968142741110064
0,0,0.0,anova,MNAR,5.136099297833445e-148,0.4968142741110064
0,0,0.0,kruskal,MCAR,3.8744494168518884e-08,0.03449088848500866
0,0,0.0,kruskal,MAR,3.8744494168518884e-08,0.03449088848500866
0,0,0.0,kruskal,MNAR,3.8744494168518884e-08,0.03449088848500866
0,0,0.1,anova,MCAR,3.0971895673291166e-117,0.49345375903070005
0,0,0.1,anova,MAR,3.355938981412296e-132,0.4898393734271165
0,0,0.1,anova,MNAR,1.714235408490994e-113,0.4433190506725881
0,0,0.1,kruskal,MCAR,1.354404510767182e-08,0.04580727091536675
0,0,0.1,kruskal,MAR,1.4074892806803518e-07,0.03487695154775767
0,0,0.1,kruskal,MNAR,7.5970634709765505e-06,0.026196052347387422
0,0,0.2,anova,MCAR,1.4101321968517187e-90,0.4912959657293251
0,0,0.2,anova,MAR,1.3182483120490998e-118,0.4906079849146536
0,0,0.2,anova,MNAR,3.342809089696304e-83,0.3835529446008795
0,0,0.2,kruskal,MCAR,6.359020224833145e-07,0.04612661406831172
0,0,0.2,kruskal,MAR,8.583932475936251e-08,0.04044437737967146
0,0,0.2,kruskal,MNAR,9.035648104238625e-05,0.02301443546836386
0,0,0.3,anova,MCAR,1.8619631027034469e-69,0.491082742799136
0,0,0.3,anova,MAR,8.86504581394784e-106,0.4897830330507283
0,0,0.3,anova,MNAR,2.533689975324752e-37,0.23569700517281597
0,0,0.3,kruskal,MCAR,4.9957784972187724e-06,0.05113468968334534
0,0,0.3,kruskal,MAR,9.590184050223272e-07,0.03817219235231792
0,0,0.3,kruskal,MNAR,0.13300289545156918,0.0037335206630634958
0,0,0.4,anova,MCAR,2.4111411081909857e-51,0.5041512308716495
0,0,0.4,anova,MAR,4.0802994716233867e-91,0.48892598353902755
0,0,0.4,anova,MNAR,2.475798615700274e-28,0.20374395382000202
0,0,0.4,kruskal,MCAR,2.249988840796746e-07,0.09067325686118397
0,0,0.4,kruskal,MAR,1.1844003643068923e-05,0.03608092887606326
0,0,0.4,kruskal,MNAR,0.07121531137426129,0.007032323067632862
1,1,0.0,anova,MCAR,5.985027176257086e-154,0.5104446917092027
1,1,0.0,anova,MAR,5.985027176257086e-154,0.5104446917092027
1,1,0.0,anova,MNAR,5.985027176257086e-154,0.5104446917092027
1,1,0.0,kruskal,MCAR,3.060107722774319e-12,0.053860243563665235
1,1,0.0,kruskal,MAR,3.060107722774319e-12,0.053860243563665235
1,1,0.0,kruskal,MNAR,3.060107722774319e-12,0.053860243563665235
1,1,0.1,anova,MCAR,2.688026659918508e-124,0.505502733097555
1,1,0.1,anova,MAR,4.994776237911468e-135,0.4982547362483132
1,1,0.1,anova,MNAR,3.8114022786056406e-118,0.45649179113975163
1,1,0.1,kruskal,MCAR,7.393641254793692e-11,0.05779162979308527
1,1,0.1,kruskal,MAR,2.4284241284533437e-10,0.04942750382487655
1,1,0.1,kruskal,MNAR,1.911030633738875e-08,0.039958332613335604
1,1,0.2,anova,MCAR,6.773325171521495e-101,0.5090304092013042
1,1,0.2,anova,MAR,1.642203614126071e-115,0.48923598237548205
1,1,0.2,anova,MNAR,1.305515912921031e-88,0.4025786088638133
1,1,0.2,kruskal,MCAR,7.120156686468704e-09,0.05766113607527657
1,1,0.2,kruskal,MAR,8.98841845398124e-09,0.04697921151555363
1,1,0.2,kruskal,MNAR,9.387701838114992e-08,0.04087385731297067
1,1,0.3,anova,MCAR,2.5846958328980016e-74,0.5022556767399895
1,1,0.3,anova,MAR,3.24150472558316e-108,0.5063078750979942
1,1,0.3,anova,MNAR,1.821109118752659e-43,0.2701509028837392
1,1,0.3,kruskal,MCAR,5.115917645071022e-08,0.06852413129751553
1,1,0.3,kruskal,MAR,1.5422433330414265e-09,0.057765437817430564
1,1,0.3,kruskal,MNAR,0.00439487396868643,0.016041001537402004
1,1,0.4,anova,MCAR,4.819693490151481e-47,0.46638410812265074
1,1,0.4,anova,MAR,2.591242010995211e-87,0.48940891892739424
