x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
0,0,0.0,pearson,MCAR,7.000800937621924e-224,0.8002579092423785
0,0,0.0,pearson,MAR,7.000800937621924e-224,0.8002579092423785
0,0,0.0,pearson,MNAR,7.000800937621924e-224,0.8002579092423785
0,0,0.0,spearman,MCAR,6.780170478367959e-193,0.764969408969409
0,0,0.0,spearman,MAR,6.780170478367959e-193,0.764969408969409
0,0,0.0,spearman,MNAR,6.780170478367959e-193,0.764969408969409
0,0,0.1,pearson,MCAR,1.3718685335334376e-178,0.7988984957930293
0,0,0.1,pearson,MAR,1.9569074614339767e-204,0.8011507889119386
0,0,0.1,pearson,MNAR,1.6223328841870105e-149,0.7404350366076211
0,0,0.1,spearman,MCAR,7.905755880039069e-159,0.7711253000457657
0,0,0.1,spearman,MAR,2.5451713335797725e-171,0.7583631444353668
0,0,0.1,spearman,MNAR,2.7431281698646014e-121,0.6937490142607042
0,0,0.2,pearson,MCAR,4.226453930736944e-140,0.7999758506609288
0,0,0.2,pearson,MAR,5.590940672133355e-184,0.7990054157689339
0,0,0.2,pearson,MNAR,2.7528428397613522e-105,0.6907003704929748
0,0,0.2,spearman,MCAR,7.414116071659988e-126,0.7745697987405853
0,0,0.2,spearman,MAR,6.051891414867094e-157,0.7638170207521775
0,0,0.2,spearman,MNAR,6.236935460813098e-79,0.623923110705589
0,0,0.3,pearson,MCAR,7.79357350609909e-108,0.7993991412516095
0,0,0.3,pearson,MAR,2.1012489889426015e-159,0.7944714216738741
0,0,0.3,pearson,MNAR,1.3867109372836204e-78,0.6621015344161635
0,0,0.3,spearman,MCAR,3.461024974827942e-92,0.7618344697676639
0,0,0.3,spearman,MAR,3.2214105476497867e-143,0.7689887025818556
0,0,0.3,spearman,MNAR,2.7289270404616177e-52,0.5622021566360637
0,0,0.4,pearson,MCAR,2.2792991791458818e-70,0.776462636412109
0,0,0.4,pearson,MAR,1.4299231536048911e-133,0.7876391253547622
0,0,0.4,pearson,MNAR,2.6932333391416544e-55,0.6244133953686112
0,0,0.4,spearman,MCAR,9.59994017160109e-65,0.7560569078129591
0,0,0.4,spearman,MAR,4.074860819783853e-125,0.7701174608930345
0,0,0.4,spearman,MNAR,1.3061082204743545e-29,0.4753765775222463
1,1,0.0,pearson,MCAR,2.9119162926551496e-222,0.7985723277748129
1,1,0.0,pearson,MAR,2.9119162926551496e-222,0.7985723277748129
1,1,0.0,pearson,MNAR,2.9119162926551496e-222,0.7985723277748129
1,1,0.0,spearman,MCAR,8.134431599840603e-218,0.7938593538593539
1,1,0.0,spearman,MAR,8.134431599840603e-218,0.7938593538593539
1,1,0.0,spearman,MNAR,8.134431599840603e-218,0.7938593538593539
